team_id,icpc_id
aze1015467,1015467
aze1015474,1015474
aze1015475,1015475
aze1015476,1015476
aze1015481,1015481
aze1015483,1015483
aze1015485,1015485
aze1015487,1015487
aze1015488,1015488
aze1015901,1015901
aze1015903,1015903
aze1015907,1015907
aze1015908,1015908
aze1015909,1015909
aze1015910,1015910
aze1015911,1015911
aze1015912,1015912
aze1015913,1015913
aze1015914,1015914
aze1015916,1015916
aze1015920,1015920
aze1015921,1015921
aze1015922,1015922
aze1015923,1015923
aze1015924,1015924
aze1015925,1015925
aze1015928,1015928
aze1015929,1015929
aze1015930,1015930
aze1015931,1015931
aze1015932,1015932
aze1015933,1015933
aze1015934,1015934
aze1015935,1015935
aze1015936,1015936
aze1015937,1015937
aze1015942,1015942
aze1015944,1015944
aze1015946,1015946
aze1015949,1015949
aze1015950,1015950
aze1015952,1015952
aze1015958,1015958
aze1015959,1015959
aze1015960,1015960
aze1015963,1015963
aze1015966,1015966
aze1015967,1015967
aze1015968,1015968
aze1015971,1015971
aze1015974,1015974
aze1015977,1015977
aze1015978,1015978
aze1015979,1015979