team_id,screen,webcam,video
1,F0,F1,001a
2,F2,F3,002a
3,F4,F5,003a
4,F6,F7,004a
5,F8,F9,005a
6,F10,F11,006a
7,F12,F13,007a
8,F14,F15,008a
9,F16,F17,009a
10,F18,F19,010a
11,F20,F21,011a
12,F22,F23,012a
13,F24,F25,013a
14,F26,F27,014a
15,F28,F29,015a
16,F30,F31,016a
17,F32,F33,017a
18,F34,F35,018a
19,F36,F37,019a
20,F38,F39,020a
21,F40,F41,021a
22,F42,F43,022a
23,F44,F45,023a
24,F46,F47,024a
25,F48,F49,025a
26,F50,F51,026a
27,F52,F53,027a
28,F54,F55,028a
29,F56,F57,029a
30,F58,F59,030a
31,F60,F61,031a
33,F62,F63,033a
34,F64,F65,034a
35,F66,F67,035a
36,F68,F69,036a
38,F70,F71,038a
39,F72,F73,039a
40,F74,F75,040a
41,F76,F77,041a
42,F78,F79,042a
43,F80,F81,043a
44,F82,F83,044a
45,F84,F85,045a
46,F86,F87,046a
47,F88,F89,047a
48,F90,F91,048a
49,F92,F93,049a
50,F94,F95,050a
51,F96,F97,051a
52,F98,F99,052a
53,F100,F101,053a
54,F102,F103,054a
55,F104,F105,055a
56,F106,F107,056a
57,F108,F109,057a
58,F110,F111,058a
59,F112,F113,059a
60,F114,F115,060a
61,F116,F117,061a
62,F118,F119,062a
63,F120,F121,063a
64,F122,F123,064a
65,F124,F125,065a
66,F126,F127,066a
67,F128,F129,067a
68,F130,F131,068a
69,F132,F133,069a
70,F134,F135,070a
71,F136,F137,071a
72,F138,F139,072a
73,F140,F141,073a
74,F142,F143,074a
75,F144,F145,075a
76,F146,F147,076a
77,F148,F149,077a
78,F150,F151,078a
79,F152,F153,079a
80,F154,F155,080a
81,F156,F157,081a
82,F158,F159,082a
83,F160,F161,083a
84,F162,F163,084a
85,F164,F165,085a
86,F166,F167,086a
88,F168,F169,088a
89,F170,F171,089a
90,F172,F173,090a
91,F174,F175,091a
92,F176,F177,092a
93,F178,F179,093a
94,F180,F181,094a
95,F182,F183,095a
96,F184,F185,096a
97,F186,F187,097a
98,F188,F189,098a
99,F190,F191,099a
100,F192,F193,100a
101,F194,F195,101a
102,F196,F197,102a
103,F198,F199,103a
104,F200,F201,104a
105,F202,F203,105a
106,F204,F205,106a
107,F206,F207,107a
108,F208,F209,108a
109,F210,F211,109a
110,F212,F213,110a
111,F214,F215,111a
112,F216,F217,112a
113,F218,F219,113a
114,F220,F221,114a
115,F222,F223,115a
116,F224,F225,116a
117,F226,F227,117a
118,F228,F229,118a
119,F230,F231,119a
120,F232,F233,120a
121,F234,F235,121a
122,F236,F237,122a
123,F238,F239,123a
124,F240,F241,124a
125,F242,F243,125a
126,F244,F245,126a
127,F246,F247,127a
128,F248,F249,128a
129,F250,F251,129a
130,F252,F253,130a
131,F254,F255,131a
132,F256,F257,132a
133,F258,F259,133a
135,F260,F261,135a
136,F262,F263,136a